Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-07-23,93.440002,94.559998,92.720001,94.480003,94.480003,2235125,361
2019-07-24,94.480003,95.599998,91.760002,92.720001,92.720001,4365500,362
2019-07-25,93.839996,94.160004,92.639999,92.800003,92.800003,2486525,363
2019-07-26,93.120003,93.68,92.400002,93.199997,93.199997,2157050,364
2019-07-29,94.160004,94.720001,92.720001,94.559998,94.559998,2837450,365
2019-07-30,94.720001,96.800003,94.559998,96.639999,96.639999,2717500,366
2019-07-31,97.199997,97.599998,96,96.32,96.32,3487513,367
2019-08-01,94.959999,95.040001,88.959999,90.480003,90.480003,7204325,368
2019-08-02,92.720001,92.800003,91.519997,91.839996,91.839996,4697250,369
2019-08-05,90.480003,92.32,90.32,90.959999,90.959999,5893975,370
2019-08-06,91.440002,91.519997,88.720001,89.120003,89.120003,3784238,371
2019-08-07,86.480003,87.120003,83.919998,86.720001,86.720001,6763025,372
2019-08-08,86.879997,87.919998,86.32,87.68,87.68,2943325,373
